done,pid,label,speaker,_date,time,topics,local_image,original_image,order,layout,collection
TRUE,img01,Web Development Class Zoom,Zach Coble,1/25/2022,18:20,introduction,img01.jpg,20220125-WebDevZoom.jpg,00,sketches_item,sketches
TRUE,img02,Web Development Class Zoom,Zach Coble,2/1/2022,6:20 PM,,img02.jpg,20220201-WebDevZoom.jpg,01,sketches_item,sketches
TRUE,img03,Black Global Consciousness,"Ann Morning, Angela Davis",2/2/2022,10:30 AM,,img03.jpg,20220202-MLKWeek-BlackGlobalConscioussness.jpg,02,sketches_item,sketches
TRUE,img04,NYCDH Week: Support,,2/7/2022,2:30 PM,DH,img04.jpg,20220207-NYCDH-Support.jpg,03,sketches_item,sketches
TRUE,img05,NYCDH Week: Kickoff,,2/7/2022,12:00 PM,,img05.jpg,20220207-NYCDHKickoff.jpg,04,sketches_item,sketches
TRUE,img06,Web Development Class Mercer,Zach Coble,2/8/2022,6:20 PM,,img06.jpg,20220208-WebDev-Mercer.jpg,05,sketches_item,sketches
TRUE,img07,NYCDH Week: The Web Is All You Need,Ben Schmidt,2/10/2022,3:00 PM,,img07.jpg,20220210-NYCDH-DataAnalysis-Ben.jpg,06,sketches_item,sketches
TRUE,img08,NYCDH Week: Seed to Scale,,2/10/2022,11:00 AM,,img08.jpg,20220210-NYCDH-SeedtoScale.jpg,07,sketches_item,sketches
TRUE,img09,Woolf Salon: Friendships Gallery,,2/11/2022,4:00 PM,,img09.jpg,20220211-WoolfSalon.jpg,08,sketches_item,sketches
TRUE,img10,Manifold Meetup,,2/15/2022,,,img10.jpg,20220215-ManifoldMeetup.jpg,09,sketches_item,sketches
TRUE,img11,Web Development Class,,2/15/2022,,,img11.jpg,20220215-WebDev-websitepresentation.jpg,10,sketches_item,sketches
TRUE,img12,Provost's Postdoctoral Fellow Meeting,,2/16/2022,,,img12.jpg,20220216-ProvostsPostdoc.jpg,11,sketches_item,sketches
TRUE,img13,Manifold Orientation,,2/16/2022,,,img13.jpg,20220217-ManifoldOrientation.jpg,12,sketches_item,sketches
TRUE,img14,Teaching Machines,Audrey Watters,2/17/2022,,,img14.jpg,20220217-TeachingMachines-Watters.jpg,13,sketches_item,sketches
TRUE,img15,Multimodal Digital Publishing 1,,2/24/2022,,,img15.jpg,20220224-MultimodalDigitalPublishing.jpg,14,sketches_item,sketches
